0.001, 0.010, 0.707, 15.0, 14.3, 1e+06, 0.114, 0.025, 1.0038e+06, 9.2320e+05, 5.5689e+27, 0.8995, 6.213e+23, 2.517e+22, 8.964e+19
0.001, 0.010, 0.870, 1.0, 1.0, 1e+06, 0.114, 0.025, 4.4615e+03, 1.3654e+03, 8.2364e+24, 0.9981, 1.176e+22, 1.183e+19, 2.451e+18
0.001, 0.010, 0.870, 3.0, 2.9, 1e+06, 0.114, 0.025, 4.0153e+04, 1.2289e+04, 7.4127e+25, 0.9880, 7.441e+22, 5.961e+20, 7.074e+18
0.001, 0.010, 0.870, 5.0, 4.8, 1e+06, 0.114, 0.025, 1.1154e+05, 3.4135e+04, 2.0591e+26, 0.9861, 8.606e+22, 6.441e+20, 1.792e+12
0.001, 0.010, 0.870, 7.5, 7.2, 1e+06, 0.114, 0.025, 2.5096e+05, 7.6805e+04, 4.6330e+26, 0.9839, 9.982e+22, 1.446e+21, 1.17e+12
0.001, 0.010, 0.870, 10.0, 9.5, 1e+06, 0.114, 0.025, 4.4615e+05, 1.3654e+05, 8.2364e+26, 0.9816, 1.139e+23, 2.755e+21, 2.395e+11
0.001, 0.010, 0.870, 12.0, 11.4, 1e+06, 0.114, 0.025, 6.4246e+05, 1.9662e+05, 1.1860e+27, 0.9798, 1.246e+23, 3.945e+21, 9.086e+10
0.001, 0.010, 0.870, 15.0, 14.3, 1e+06, 0.114, 0.025, 1.0038e+06, 3.0722e+05, 1.8532e+27, 0.9762, 1.47e+23, 6.001e+21, 2.035e+17
0.001, 0.100, 0.000, 1.0, 0.9, 1e+06, 0.114, 0.052, 3.4125e+04, 3.4125e+04, 2.2419e+26, 0.9977, 1.526e+22, 7.576e+19, 2.239e+16
0.001, 0.100, 0.000, 3.0, 2.7, 1e+06, 0.114, 0.052, 3.0713e+05, 3.0713e+05, 2.0177e+27, 0.8853, 7.719e+23, 9.387e+21, 3.174e+20
0.001, 0.100, 0.000, 5.0, 4.5, 1e+06, 0.114, 0.052, 8.5313e+05, 8.5313e+05, 5.6047e+27, 0.6356, 2.388e+24, 2.87e+22, 4.251e+20
